epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,177.749,0.7669,1.27143,0.61642,1.15663,0.87019,0.81672,0.90155,0.70617,0.88538,0.82637,0.9043,0.68532,0.78464,1.40156,0.6713,1.19469,0.000892928,0.000892928,0.000892928
66,180.462,0.80097,1.39394,0.63134,1.1945,0.85543,0.83601,0.90373,0.72373,0.86417,0.84244,0.90975,0.70522,0.72907,1.38946,0.63888,1.18787,0.000889687,0.000889687,0.000889687
67,182.386,0.85673,1.5209,0.64463,1.23293,0.87656,0.84481,0.90773,0.73236,0.88496,0.85531,0.91539,0.71954,0.73601,1.36693,0.62219,1.20694,0.000886404,0.000886404,0.000886404
68,184.757,0.8517,1.47382,0.64514,1.25584,0.84896,0.86753,0.90939,0.72011,0.86346,0.8744,0.91882,0.71625,0.75522,1.42094,0.61718,1.20372,0.000883079,0.000883079,0.000883079
69,187.434,0.89376,1.55536,0.66382,1.26439,0.89209,0.85062,0.90798,0.72514,0.88878,0.84792,0.90973,0.68918,0.77203,1.5218,0.60742,1.22049,0.000879713,0.000879713,0.000879713
70,190.298,0.85707,1.55136,0.65848,1.24772,0.85329,0.87895,0.90509,0.72588,0.85329,0.87895,0.90697,0.70494,0.74622,1.45283,0.60848,1.19832,0.000876305,0.000876305,0.000876305
71,193.034,0.7889,1.39529,0.61207,1.1813,0.88239,0.84433,0.90462,0.74873,0.87384,0.86174,0.91466,0.73165,0.68385,1.37753,0.59713,1.14075,0.000872857,0.000872857,0.000872857
72,195.829,0.93318,1.70838,0.70572,1.29212,0.87142,0.87169,0.91672,0.75801,0.87851,0.87781,0.92425,0.74089,0.66731,1.32959,0.5812,1.11106,0.000869368,0.000869368,0.000869368
73,198.539,0.85972,1.4826,0.67114,1.24351,0.90527,0.86038,0.91797,0.74513,0.90515,0.85918,0.92221,0.72696,0.7012,1.39474,0.62475,1.13246,0.000865839,0.000865839,0.000865839
74,201.04,0.83828,1.53976,0.68828,1.25503,0.87858,0.86086,0.91983,0.73684,0.90091,0.84778,0.92387,0.71009,0.71092,1.45204,0.61504,1.13634,0.000862271,0.000862271,0.000862271
75,203.737,0.78472,1.26988,0.59694,1.18319,0.88835,0.86985,0.92462,0.74085,0.89156,0.8724,0.92359,0.67935,0.71309,1.47939,0.58145,1.14003,0.000858664,0.000858664,0.000858664
76,206.334,0.81349,1.36892,0.65237,1.21117,0.87955,0.85209,0.92667,0.7444,0.88619,0.85852,0.92639,0.69767,0.72142,1.36647,0.58663,1.1548,0.000855018,0.000855018,0.000855018
77,208.929,0.80238,1.28753,0.62966,1.21322,0.84958,0.88103,0.93045,0.75655,0.86867,0.89326,0.94016,0.73034,0.67997,1.27869,0.61051,1.14609,0.000851333,0.000851333,0.000851333
78,211.815,0.75883,1.39178,0.62334,1.18327,0.83013,0.83281,0.90269,0.73995,0.8074,0.87615,0.91409,0.71586,0.69545,1.31087,0.70422,1.15696,0.000847611,0.000847611,0.000847611
79,214.483,0.80429,1.38459,0.64596,1.2272,0.83841,0.88746,0.92208,0.74629,0.84497,0.89376,0.9259,0.73339,0.71538,1.2859,0.65715,1.17073,0.000843851,0.000843851,0.000843851
80,216.263,0.82942,1.45049,0.61808,1.22022,0.8596,0.89068,0.93453,0.76577,0.84849,0.90032,0.93558,0.72812,0.67553,1.29766,0.59111,1.14243,0.000840054,0.000840054,0.000840054
81,218.899,0.78905,1.38826,0.63434,1.20067,0.90647,0.84144,0.93073,0.75758,0.90647,0.84144,0.93279,0.69253,0.68842,1.39103,0.5762,1.13697,0.00083622,0.00083622,0.00083622
82,221.691,0.7552,1.25625,0.58137,1.16265,0.91645,0.85209,0.92905,0.75451,0.92336,0.85852,0.93295,0.69665,0.70194,1.38685,0.56326,1.148,0.000832349,0.000832349,0.000832349
83,224.417,0.83888,1.46209,0.63135,1.24149,0.91695,0.84566,0.92519,0.74023,0.92258,0.85531,0.92897,0.72087,0.74791,1.34956,0.57997,1.1722,0.000828443,0.000828443,0.000828443
84,227.217,0.78819,1.37139,0.59892,1.16502,0.89091,0.88103,0.93082,0.73703,0.89761,0.88746,0.93855,0.73355,0.76454,1.3303,0.56717,1.17708,0.000824502,0.000824502,0.000824502
85,230.049,0.75872,1.38777,0.57606,1.17387,0.87312,0.90724,0.93435,0.75269,0.87617,0.90354,0.94227,0.74303,0.72901,1.31481,0.56036,1.15839,0.000820525,0.000820525,0.000820525
